content,id,postDate,author
Nice post! Keep it up!,112872,2019-11-23 18:12:57,Vlad Yelisieiev
@kyakovlev looks like it is time to become a master in datasets ;),112872,2019-11-11 09:10:21,Roman
That's the plan. UCF meter readings,112872,2019-11-11 21:35:17,Tim Yee
"I did an automatic FE using a Featuretools library (see ASHRAE - Automatic FE: Featuretools & Selection FE). The analysis showed that in addition to the usual min/max/sum etc. for features, it is advisable to consider the MODE of some meteorological features. I tried to automate this: 
df['data_mode'] = group_df[col].rolling(window=window, min_periods=0).apply(lambda x: mode(x)[0][0], raw=True)
But it doesn't work, unfortunately (both mode(x)[0] and mode(x)[0][0]). Someone else might be able to use it in another way",112872,2019-11-04 21:38:43,Vitalii Mokin
"The format of the most of meteorological features can be optimize by rounding up data to int8 or uint8 without losing precision (see my kernel Very significant safe memory + LightGBM):
df['air_temperature'] = np.int8(round(2*df['air_temperature'],0)) # store values with precision 0.5
df['cloud_coverage'] = np.uint8(round(10*df['cloud_coverage'],0)) # store values with precision 0.1
df['dew_temperature'] = np.int8(round(5*df['dew_temperature'],0)) # store values with precision 0.2
df['precip_depth_1_hr'] = np.uint8(np.clip(round(df['precip_depth_1_hr'],0),0,255)) # transform [-1,343] to [0,255]",112872,2019-11-04 21:51:52,Vitalii Mokin
"Good, that means I can drop in late again :P",112872,2019-10-16 09:48:44,Psi
"Did anyone probed public/private data split?
Is it timebased splits or random? 
Didn't find information about it in competition description. ",112872,2019-10-17 17:52:02,Konstantin Yakovlev
"Seems noone did test)) So I did it.
https://www.kaggle.com/kyakovlev/ashrae-split-test

This leaderboard is calculated with approximately 78% of the test data. The final results will be based on the other 22%, so the final standings may be different.

submission = pd.read_csv('../input/ashrae-baseline-lgbm/submission.csv')
possible_public = int(len(submission)*0.78)

submission.iloc[possible_public:,1] = 0

LB before - 1.36
LB after -> 2.60 -> seems it's random split or 22% first lines of data is private (need one more test).",112872,2019-10-17 20:45:43,Konstantin Yakovlev
"I tried 
possible_public = int(len(submission)*0.22)
submission.iloc[:possible_public:,1] = 0

LB before - 1.37
LB after -> 2.53
 -> seems it's random split",112872,2019-10-18 15:52:49,uratatsu
"
This leaderboard is calculated with approximately 78% of the test data. The final results will be based on the other 22%, so the final standings may be different.

@d1348k , @kyakovlev, if multiply *0.22 in local validation predictions, help to generalize final results ?  LB_before  = int(len(submission_LB_before )*0.22), to generalize results for private dataset. ✨ ",112872,2019-10-19 17:17:29,CaesarLupum
"A logical split for this would be by building_id - so maybe we looking at only 22% of the buildings.
How hard is that assumption to probe?",112872,2019-10-20 19:27:48,PC Jimmmy
I don't understand this multiply thing and how you people come to conclusion. Can anyone please explain?,112872,2019-10-23 18:09:56,Mukul Sharma
In general case if leaderboard splitting is not randomized (not randomized means that first 78% of data is public and last 22% is private) then turning to zeroes private part (last 22%) of submission would not cause LB decreasing,112872,2019-10-23 22:56:30,Andrei S
"And I was wrong.
please see and upvote https://www.kaggle.com/c/ashrae-energy-prediction/discussion/113751

(test set and row_id column are not strictly time ordered).

It's very important!",112872,2019-10-23 23:12:03,Konstantin Yakovlev
"@yourssharmaji 
they are taking 78% (in train case) and 22% (in validation case) of the rows in 'submission.csv' file. Now, they cross-check their position's using 'iloc' in submission.csv to esure if the public/private split is in pattern(time-based) or random…",112872,2019-11-07 21:30:12,Atul Anand
"Minification part added:
pickle is not the unique option btw.  
You can try use feather DataFrame.to_feather()
or Google BigQuery table DataFrame.to_gbq() -> it would be amazing if someone can prepare BigQuery integration notebook for with competition
or parquet DataFrame.to_parquet()",112872,2019-10-16 13:37:49,Konstantin Yakovlev
Was going to mention the pandas to_feather format myself. It would be nice to have a comparison between them. I will probably report one tomorrow.,112872,2019-10-17 21:42:37,Georgios Sarantitis
"Pandas to feather doesn't yet work with float16, so it wont work if you're downcasting data to float16. Be mindful",112872,2019-10-19 14:06:57,Kenechukwu
"Feather format based on parquet and it also has no support for float16. But it's fast.
The types supported by the file format are intended to be as minimal as possible, with a focus on how the types effect on disk storage. For example, 16-bit ints are not explicitly supported in the storage format since they are covered by 32-bit ints with an efficient encoding. This reduces the complexity of implementing readers and writers for the format. The types are:
BOOLEAN: 1 bit boolean
INT32: 32 bit signed ints
INT64: 64 bit signed ints
INT96: 96 bit signed ints
FLOAT: IEEE 32-bit floating point values
DOUBLE: IEEE 64-bit floating point values
BYTE_ARRAY: arbitrarily long byte arrays.

So you may want to change memory_reducer function to use 32bits minimum formats.",112872,2019-10-19 16:52:00,Konstantin Yakovlev
"Here is a blog post which compares feather, md5, parquet, pickle etc. And it shows that feather is the most optimized one. I am using feather for sometime (both at work and projects) and found it to be good (Didn't do any comparison though).
https://towardsdatascience.com/the-best-format-to-save-pandas-data-414dca023e0d",112872,2019-10-22 05:28:31,arnab
"Look forward to seeing your kernel! 
One can really learn a lot when taking part in the same competition with you!",112872,2019-10-16 03:53:14,Alex
"I am looking forward to the notebooks but I do think anything that can get you in medal zone should only be shared as an idea in forums irrespective of time so that you have to work for it rather than enabling freeloaders to inflate the leaderboard. Just a thought, you can still do it as long as it is allowed  by rules.",112872,2019-10-16 09:45:18,Ankit Sati
"added two models with simple fe:
(1.22 - https://www.kaggle.com/kyakovlev/ashrae-lgbm-simple-fe -lgbm)
(1.23 - https://www.kaggle.com/kyakovlev/ashrae-catboost - catboost)",112872,2019-10-25 18:02:42,Konstantin Yakovlev
"@kyakovlev considering both of them are doing good , did you try ensembling them ? ",112872,2019-10-25 18:10:39,Khairul Islam
"I have xgb gpu ready also))) I'll submit it tomorrow and blend probe.
The reason to publish 3 models and blend:

Show tiny differences in models train (categoricals/Nans/params/save/load)
Show how much score boost blend can give
",112872,2019-10-25 18:13:04,Konstantin Yakovlev
"I can literally visualize you doing this after ensembling the models tomorrow. 
",112872,2019-10-25 18:22:16,Khairul Islam
"Yes, blend works. 1.20 lb for lgbm (1.22) and catboost (1.23) - blend 50/50",112872,2019-10-26 18:10:17,Konstantin Yakovlev
"Also same kernels with 2 lines change scores 1.13 and blend should give 1.10 +-
I just don't think it's fair to share such high score kernels right now.",112872,2019-10-27 01:19:48,Konstantin Yakovlev
"Yah right .

with 2 lines change

Wow !!",112872,2019-10-27 04:23:36,Khairul Islam
"Hi @kyakovlev! First, thanks for sharing! I hope you'll do good as IEEE :)
What do you mean when you say:

For unknown site_id and building_id our predictions are terrible

Cause we have the same building and site ids in both train and test as far as my checks are correct 😄",112872,2019-10-18 20:39:45,Federico Raimondi
"You are right. 

Good thing is all our test buildings and test sites present in train set.

https://www.kaggle.com/kyakovlev/ashrae-cv-options


What do you mean

Be careful with kfold -> if any fold will not have all building_ids and all months data it will make bad predictions for such unknown items.",112872,2019-10-18 21:25:38,Konstantin Yakovlev
"Thanks, now I see what you meant.
I'm currently using TimeSeriesSplit but I have to manage to find splits where all building ids are present…",112872,2019-10-18 23:20:24,Federico Raimondi
